⌚	Armbanduhr	Armbanduhr|Uhr|Zeit
🎲	Spielwürfel	Casino|Spiel|Spielwürfel|Unterhaltung|Würfel|würfeln|Zufall
🎳	Bowling	Bowling|Bowlingkugel|Kugel|Spiel
🎴	japanische Blumenkarte	Blume|Blumenkarte|Hanafuda|Japan|japanische Blumenkarte|Japanische Blumenkarte|Karte
🎵	Musiknote	Lied|Melodie|Musik|Musiknote|Note
🎶	Musiknoten	Musik|Musiknoten|Noten
🎷	Saxofon	Instrument|Musik|Musikinstrument|Saxofon
🎸	Gitarre	Gitarre|Instrument|Musik|Musikinstrument
🎹	Klaviatur	Instrument|Klaviatur|Klavier|Musik|Musikinstrument|Piano|Tastatur|Tasten
🎺	Trompete	Instrument|Musik|Musikinstrument|Trompete
🎻	Geige	Geige|Instrument|Musik|Musikinstrument|Violine
🎼	Notenschlüssel	Musik|Noten|Notenschlüssel|Partitur|Violinschlüssel
🎽	Laufshirt	Laufen|Laufshirt|Laufshirt mit Schärpe|Schärpe|Sport
🎾	Tennisball	Ball|Sport|Tennis|Tennisball
🎿	Ski	Ski|Ski und Stöcke
🏀	Basketball	Ball|Basketball|Korb|Sport
🏁	Zielflagge	Flagge|formel 1|karierte Flagge|nascar|Rennen|Sport|Zielflagge
🏂	Snowboarder(in)	Snowboard|Snowboarden|Snowboarder|Snowboarder(in)|Snowboarderin|Sport
🏃	laufende Person	eilig|joggen|laufen|Laufen|laufende Person|Läufer|Läuferin|Marathon|Person|rennen|schnell|Sport
🏄	Surfer(in)	Person|Sport|Surfboard|Surfbrett|Surfen|Surfer|Surfer(in)|Surferin|Wassersport|Wellenreiten|Wellenreiter|Wellenreiterin
🏅	Sportmedaille	Gewinn|Goldmedaille|Medaille|Sportmedaille
🏆	Pokal	Bundesliga|Champion|gewinnen|Pokal|Preis|Sieger|Sport|Trophäe
🏇	Pferderennen	Jockey auf Pferd|Pferderennen|schnell|Sport|um die Wette|wetten
